permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,total_new_add_footage,total_job_valuation,dd,legal_description,lat,lng
2015-011868 BP,R- 101 Single Family Houses,New,12628 CRICOLI DR,2/3/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Final,3230,242250,1,LOT 39 BLK C AVANA PHS 1 SEC 2,30.17294668,-97.91353827
2015-150670 BP,R- 101 Single Family Houses,New,12813 PADUA DR,12/22/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4438,234600,1,,30.172982,-97.9074978
2015-150678 BP,R- 101 Single Family Houses,New,12913 PADUA DR,12/22/2015,"***12/22/15 need water taps***New 1-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3962,226275,1,,30.172982,-97.9074978
2015-103190 BP,R- 101 Single Family Houses,New,12629 ORBA DR,8/26/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3986,298950,1,LOT 1 BLK C AVANA PHS 1 SEC 2,30.17300774,-97.91146501
2015-000103 BP,R- 101 Single Family Houses,New,9305 PRIVET DR,1/6/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Final,2418,102002,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.1730241,-97.80928729
2015-109482 BP,R- 101 Single Family Houses,New,9304 PRIVET DR,9/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2401,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17303211,-97.80963329
2015-063858 BP,R- 101 Single Family Houses,New,9307 TANAGER WAY,5/29/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2292,213990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17303288,-97.80798523
2015-000088 BP,R- 101 Single Family Houses,New,9304 LOST BRIDGE LN,1/5/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Final,2694,112099,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17312167,-97.80902921
2015-121155 BP,R- 101 Single Family Houses,New,9305 TANAGER WAY,10/7/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2428,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17313492,-97.80795371
2015-063777 BP,R- 101 Single Family Houses,New,9304 TANAGER WAY,6/5/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2292,213990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.1731412,-97.80833273
2015-063884 BP,R- 101 Single Family Houses,New,9305 LOST BRIDGE LN,5/29/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2292,213990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17314342,-97.80867968
2015-023451 BP,R- 101 Single Family Houses,New,12612 PADUA DR,3/2/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,4974,373500,1,LOT 13 BLK B AVANA PHS 1 SEC 1,30.17314542,-97.9078719
2015-000400 BP,R- 101 Single Family Houses,New,9302 PRIVET DR,1/5/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,2707,112349,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17314551,-97.80963308
2015-080114 BP,R- 101 Single Family Houses,New,12625 ORBA DR,7/2/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3431,257325,1,LOT 2 BLK C AVANA PHS 1 SEC 2,30.17317914,-97.91143873
2015-009425 BP,R- 101 Single Family Houses,New,6713 SERLIO DR,1/27/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,3855,289125,1,LOT 5 BLK F AVANA PHS 1 SEC 2,30.17319283,-97.91240693
2015-069950 BP,R- 101 Single Family Houses,New,9303 TANAGER WAY,6/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2408,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17324045,-97.80791798
2015-063836 BP,R- 101 Single Family Houses,New,9302 TANAGER WAY,5/29/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2406,203990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17324939,-97.80831067
2015-074519 BP,R- 101 Single Family Houses,New,9303 LOST BRIDGE LN,6/22/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2351,203990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17326051,-97.80868486
2015-000312 BP,R- 101 Single Family Houses,New,1003 COTTAGE BANK TRL,1/6/2015,"New 2-story Condominium Residence with attached garage, covered porch.",Final,2351,102252,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.1732938,-97.80970752
2015-067026 BP,R- 101 Single Family Houses,New,9301 TANAGER WAY,6/4/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2292,213990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.1733426,-97.80789196
2015-064578 BP,R- 101 Single Family Houses,New,9300 TANAGER WAY,6/5/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2292,213990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17335165,-97.80829014
2015-073769 BP,R- 101 Single Family Houses,New,9301 LOST BRIDGE LN,6/19/2015,"New 2-story Condominium Residence with attached garage, covered porch. **CONDOMINIUM RESIDENCE**",Active,2403,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17336203,-97.8086877
2015-021450 BP,R- 101 Single Family Houses,New,12617 ORBA DR,3/20/2015,"New 2-story single-family residence, attached garage, covered porch and patio, covered balcony.",Active,3727,283425,1,LOT 4 BLK C AVANA PHS 1 SEC 2,30.17353526,-97.91143321
2015-030969 BP,R- 329 Res Structures Other Than Bldg,New,5501 TESSA CV,3/23/2015,Inground swimming pool w/ req'd enclosure device for existing 2 story SF res,Active,360,32000,1,"Lot: 7 Block: D Subdivision: BERDOLL FARMS PHASE ONE, SECTION 1",30.1735825,-97.61952151
2015-052188 BP,R- 101 Single Family Houses,New,6804 SERLIO DR,5/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3277,245775,1,LOT 6 BLK E AVANA PHS 1 SEC 2,30.17360639,-97.912735
2015-126796 BP,R- 101 Single Family Houses,New,12624 ONDARA DR,10/28/2015,"**NOT VOLUME BUILDER**\rNew 2-story single-family residence, attached garage with 3\' garage extension, covered entry porch and rear patio.",Active,3874,284925,1,LOT 1 BLK B AVANA PHS 2 SEC 1,30.17360987,-97.91567752
2015-070215 BP,R- 101 Single Family Houses,New,908 COTTAGE BANK TRL,6/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,2403,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17361354,-97.80859087
2015-070237 BP,R- 101 Single Family Houses,New,910 COTTAGE BANK TRL,6/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,2403,223990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17362063,-97.80873247
2015-000322 BP,R- 101 Single Family Houses,New,1002 COTTAGE BANK TRL,1/5/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,2408,103760,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.17362715,-97.80957146
2015-018423 BP,R- 101 Single Family Houses,New,6712 SERLIO DR,2/18/2015,"**VOL BUILD PROJECT** New 1-story single-family residence, attached garage, covered entry porch and rear patio.",Final,2346,175950,1,LOT 4 BLK E AVANA PHS 1 SEC 2,30.17363344,-97.91239651
2015-132378 BP,R- 101 Single Family Houses,New,7117 TRISSINO DR,11/4/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,5536,415200,1,LOT 51 BLK A AVANA PHS 2 SEC 1,30.17367384,-97.91728364
2015-013212 BP,R- 101 Single Family Houses,New,12613 ORBA DR,2/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT**",Active,3666,274950,1,LOT 5 BLK C AVANA PHS 1 SEC 2,30.17370342,-97.91143779
2015-111715 BP,R- 101 Single Family Houses,New,12608 CRICOLI DR,10/28/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3592,269400,1,LOT 34 BLK C AVANA PHS 1 SEC 2,30.17374005,-97.91383109
2015-126822 BP,R- 101 Single Family Houses,New,12616 JAVEA DR,10/28/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,4052,303900,1,LOT 48 BLK A AVANA PHS 2 SEC 1,30.17377271,-97.91671537
2015-055465 BP,R- 101 Single Family Houses,New,12604 CRICOLI DR,5/11/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,2956,221700,1,LOT 33 BLK C AVANA PHS 1 SEC 2,30.17390318,-97.91387317
2015-127090 BP,R- 101 Single Family Houses,New,12612 JAVEA DR,10/28/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2329,174675,1,LOT 47 BLK A AVANA PHS 2 SEC 1,30.1739102,-97.91671413
2015-040693 BP,R- 101 Single Family Houses,New,6809 VITRUVIUS DR,4/10/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3176,238200,1,LOT 12 BLK E AVANA PHS 1 SEC 2,30.17397374,-97.91299404
2015-052755 BP,R- 101 Single Family Houses,New,6709 VITRUVIUS DR,5/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3179,238425,1,LOT 17 BLK E AVANA PHS 1 SEC 2,30.17399766,-97.9121635
2015-023057 BP,R- 101 Single Family Houses,New,6801 VITRUVIUS DR,3/3/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,3766,282450,1,LOT 14 BLK E AVANA PHS 1 SEC 2,30.17399976,-97.91266586
2015-013234 BP,R- 101 Single Family Houses,New,6705 VITRUVIUS DR,2/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT**",Active,3577,268275,1,LOT 18 BLK E AVANA PHS 1 SEC 2,30.17401847,-97.91199551
2015-049386 BP,R- 329 Res Structures Other Than Bldg,New,12513 PADUA DR,5/4/2015,Inground swimming pool & spa w/ req'd enclosure device for exisitng 2 story SF res,Active,483,67000,1,LOT 4 BLK A AVANA PHS 1 SEC 1,30.17409245,-97.90767759
2015-137982 BP,R- 101 Single Family Houses,New,12605 JAVEA DR,12/4/2015,"***11/25/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3570,267750,1,LOT 22 BLK B AVANA PHS 2 SEC 1,30.17418563,-97.91612913
2015-045720 BP,R- 101 Single Family Houses,New,12601 ORBA DR,4/21/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3792,284400,1,LOT 8 BLK C AVANA PHS 1 SEC 2,30.17421137,-97.91143385
2015-143124 BP,R- 101 Single Family Houses,New,12609 ONDARA DR,12/4/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2492,137325,1,LOT 7 BLK A AVANA PHS 2 SEC 1,30.17422386,-97.91511921
2015-126772 BP,R- 101 Single Family Houses,New,12601 JAVEA DR,10/28/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2597,194775,1,LOT 21 BLK B AVANA PHS 2 SEC 1,30.17432304,-97.91612349
2015-038234 BP,R- 101 Single Family Houses,New,12521 ORBA DR,4/6/2015,"New 2-story single-family residence, attached garage, covered porch and patio, covered balcony. **VOL BUILD PROJECT**",Active,4223,302700,1,LOT 9 BLK C AVANA PHS 1 SEC 2,30.17437477,-97.9115274
2015-141098 BP,C- 329 Com Structures Other Than Bldg ,New,1116 1/2 W SLAUGHTER LN,12/11/2015,Add Telecommunication Fiber Hut and Chain Link Security Fence ,Active,316,33700,1,W60FT OF LOT 2 LESS S 24.79\' AV WESTWOOD HEIGHTS SEC 1,30.17440734,-97.81276553
2015-052769 BP,R- 101 Single Family Houses,New,6716 VITRUVIUS DR,5/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3162,237150,1,LOT 5 BLK D AVANA PHS 1 SEC 2,30.17441275,-97.91249409
2015-066848 BP,R- 101 Single Family Houses,New,6712 VITRUVIUS DR,6/4/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,3577,268275,1,LOT 4 BLK D AVANA PHS 1 SEC 2,30.17441376,-97.91233332
2015-137932 BP,R- 101 Single Family Houses,New,12520 JAVEA DR,11/25/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2609,139650,1,LOT 43 BLK A AVANA PHS 2 SEC 1,30.17445467,-97.91672249
2015-125338 BP,R- 101 Single Family Houses,New,12521 JAVEA DR,10/28/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3374,253050,1,LOT 20 BLK B AVANA PHS 2 SEC 1,30.17446069,-97.91613104
2015-092362 BP,R- 330 Accessory Use to Primary,New,3409 AZALEA BLOSSOM DR,8/12/2015,Detached cabana with wood deck,Active,304,24000,1,"Lot: 4 Block: A Subdivision: BRODIE SPRINGS II, PHASE ONE (RESUBMITTAL OF C8-02-0225.1A)",30.174476,-97.854449
2015-092363 BP,R- 329 Res Structures Other Than Bldg,New,3409 AZALEA BLOSSOM DR,8/12/2015,new spa,Active,49,1000,0,"Lot: 4 Block: A Subdivision: BRODIE SPRINGS II, PHASE ONE (RESUBMITTAL OF C8-02-0225.1A)",30.174476,-97.854449
2015-056556 BP,C- 325 Public Works & Utilities Bldgs,New,500 1/2 RALPH ABLANEDO DR,5/20/2015,New Telecommunication Fiber Hut & Chain link security fence,Active,325,33700,1,ABS 6 SUR 19 CANNON W ACR 15.297,30.17450874,-97.7931362
2015-094486 BP,"C- 318 Amusement, Social & Rec Bldgs",New,1824 W SLAUGHTER LN,8/18/2015,New Personal Improvement Services,Active,37000,3500000,1,ABS 6 SUR 19 CANNON W ACR 6.335,30.17451291,-97.82239211
2015-135181 BP,R- 101 Single Family Houses,New,7119 CALPE DR,11/10/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio.  **VOL BUILD PROJECT**",Active,3577,268275,1,LOT 37 BLK A AVANA PHS 2 SEC 1,30.17453658,-97.91721723
2015-069338 BP,R- 101 Single Family Houses,New,12517 ORBA DR,6/9/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,3835,287625,1,LOT 10 BLK C AVANA PHS 1 SEC 2,30.17454572,-97.91151779
2015-142636 BP,R- 101 Single Family Houses,New,7127 CALPE DR,12/3/2015,"New 1-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2793,209475,1,LOT 35 BLK A AVANA PHS 2 SEC 1,30.17465203,-97.91766717
2015-012657 BP,R- 101 Single Family Houses,New,6809 TEULADA DR,2/4/2015,"New 1-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT** No tree protection or mulch per tree permit (ECM 3.5.2). Compacted to root zone occurring from construction debris and activity. Two year tree care plan required. Plan to be provided and implemented by a certified arborist. Plan must be prepaid prior to final inspection. A reinspection fee of $133.00 is owed.",Final,2850,213750,1,LOT 13 BLK D AVANA PHS 1 SEC 2,30.17473161,-97.91334366
2015-127111 BP,R- 101 Single Family Houses,New,12520 ONDARA DR,10/28/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2564,192300,1,LOT 9 BLK B AVANA PHS 2 SEC 1,30.1747487,-97.91570618
2015-037811 BP,R- 101 Single Family Houses,New,6801 TEULADA DR,4/6/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,4036,302700,1,LOT 15 BLK D AVANA PHS 1 SEC 2,30.17475734,-97.91293635
2015-104296 BP,R- 101 Single Family Houses,New,6713 TEULADA DR,9/14/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,4005,300375,1,LOT 17 BLK D AVANA PHS 1 SEC 2,30.17478326,-97.91254003
2015-013261 BP,R- 101 Single Family Houses,New,6701 TEULADA DR,2/5/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT**",Final,3792,284400,1,LOT 20 BLK D AVANA PHS 1 SEC 2,30.1747957,-97.91193523
2015-026993 BP,R- 101 Single Family Houses,New,6709 TEULADA DR,3/16/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,4061,304575,1,LOT 18 BLK D AVANA PHS 1 SEC 2,30.17479882,-97.9123528
2015-133465 BP,R- 101 Single Family Houses,New,7111 CALPE DR,11/5/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2739,205425,1,LOT 39 BLK A AVANA PHS 2 SEC 1,30.17483343,-97.91695701
2015-129849 BP,R- 101 Single Family Houses,New,7128 CALPE DR,11/4/2015,new two story sf res w/ attached garage and covered patio,Active,4006,300450,1,LOT 34 BLK A AVANA PHS 2 SEC 1,30.1748491,-97.91768642
2015-064988 BP,R- 101 Single Family Houses,New,12509 ORBA DR,6/1/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Active,2940,220500,1,LOT 12 BLK C AVANA PHS 1 SEC 2,30.17488794,-97.91151454
2015-060633 BP,R- 101 Single Family Houses,New,12504 CRICOLI DR,5/27/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOL BUILD PROJECT**",Active,3921,294075,1,LOT 27 BLK C AVANA PHS 1 SEC 2,30.17488911,-97.91409808
2015-137905 BP,R- 101 Single Family Houses,New,7124 CALPE DR,12/3/2015,"***11/25/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3793,234075,1,LOT 33 BLK A AVANA PHS 2 SEC 1,30.17505619,-97.91762849
2015-066137 BP,R- 101 Single Family Houses,New,12505 ORBA DR,6/3/2015,"New 2-story single-family residence, attached garage, covered porch and patio, covered balcony. **VOL BUILD PROJECT**",Active,3979,190800,1,LOT 13 BLK C AVANA PHS 1 SEC 2,30.17508583,-97.91146167
2015-145246 BP,R- 329 Res Structures Other Than Bldg ,New,10505 ANTELOPE RUN,12/7/2015,Inground swimming pool & spa w/ req\'d enclosure device for existing 1 story SF res,Active,382,43000,0,Lot: 11 Block: D Subdivision: BRODIE SPRINGS II PHASE TWO (RESUBMITTAL OF C8-02-0225.2A),30.17514562,-97.8502642
2015-142777 BP,R- 101 Single Family Houses,New,12508 ONDARA DR,12/4/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3173,192450,1,LOT 12 BLK B AVANA PHS 2 SEC 1,30.17515398,-97.91572682
2015-118091 BP,R- 101 Single Family Houses,New,13200 MERIDIAN PARK BLVD,11/19/2015,"New single family residence.  5 bedrooms, 5.5 baths, 3 car garage",Active,15681,600000,1,,30.17516148,-97.92636955
